PACKET_ID,PACKET_TYPE_Control_Packet,CONTROL_PACKET_TYPE_DIO,CONTROL_PACKET_TYPE_App1_CBR,CONTROL_PACKET_TYPE_DAO,SOURCE_ID,RECEIVER_ID,NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS_Successful,PACKET_STATUS_Collided,Class Type
0,1,1,0,0,6,4,697961,697961,6,0,1,1
0,1,1,0,0,6,9,697961,697961,6,1,0,1
0,1,1,0,0,6,10,697961,697961,6,1,0,1
0,1,1,0,0,6,15,697961,697961,6,1,0,1
0,1,0,0,0,1,3,425000,425000,6,1,0,1
0,1,0,0,0,1,5,425000,425000,6,1,0,1
0,1,0,0,0,1,11,425000,425000,6,1,0,1
0,1,0,0,0,1,12,425000,425000,6,1,0,1
0,1,0,0,0,1,13,425000,425000,6,1,0,1
0,1,1,0,0,11,1,738902,738902,6,1,0,1
0,1,1,0,0,11,2,738902,738902,6,0,1,1
0,1,1,0,0,11,3,738902,738902,6,1,0,1
0,1,1,0,0,11,4,738902,738902,6,0,1,1
0,1,1,0,0,11,5,738902,738902,6,1,0,1
0,1,1,0,0,11,9,738902,738902,6,0,1,1
0,1,1,0,0,11,12,738902,738902,6,1,0,1
0,1,1,0,0,11,13,738902,738902,6,1,0,1
0,1,1,0,0,11,14,738902,738902,6,1,0,1
0,1,1,0,0,6,10,714062,714062,6,1,0,1
0,1,1,0,0,6,15,714062,714062,6,0,1,1
0,1,0,0,0,1,2,430000,430000,6,0,1,1
0,1,0,0,0,1,3,430000,430000,6,0,1,1
0,1,0,0,0,1,4,430000,430000,6,0,1,1
0,1,0,0,0,1,5,430000,430000,6,0,1,1
0,1,0,0,0,1,11,430000,430000,6,0,1,1
0,1,0,0,0,1,13,430000,430000,6,0,1,1
0,1,1,0,0,12,9,738902,738902,6,0,1,1
0,1,1,0,0,12,14,738902,738902,6,1,0,1
0,1,1,0,0,6,2,735124,735124,6,0,1,1
0,1,1,0,0,6,4,735124,735124,6,0,0,1
0,1,1,0,0,6,10,735124,735124,6,1,0,1
0,1,1,0,0,6,15,735124,735124,6,0,1,1
0,1,0,0,0,10,2,455000,455000,6,0,1,1
0,1,0,0,0,10,4,455000,455000,6,0,1,1
0,1,0,0,0,10,6,455000,455000,6,0,1,1
0,1,0,0,0,10,15,455000,455000,6,0,1,1
0,1,1,0,0,5,1,738405,738405,6,0,1,1
0,1,1,0,0,5,3,738405,738405,6,0,1,1
0,1,1,0,0,5,9,738405,738405,6,0,1,1
0,1,1,0,0,5,11,738405,738405,6,0,1,1
0,1,1,0,0,5,13,738405,738405,6,0,1,1
0,1,1,0,0,5,14,738405,738405,6,0,1,1
0,1,0,0,0,10,2,460000,460000,6,1,0,1
0,1,0,0,0,10,4,460000,460000,6,0,1,1
0,1,0,0,0,10,6,460000,460000,6,1,0,1
